Car_VIN,Brand,Model,Year,Engine_Size,Fuel_Type,Price
VINTALKOL9MIN57J0,Toyota,Camry,2004,2.8,Hybrid,34374.69
VINLUVLCNK5LG6S0U,Toyota,Corolla,2013,2.8,Hybrid,28283.4
VINPJ5YUO2T6FCXZN,Volkswagen,Golf,2023,2.4,Petrol,
VIN96IBKJHADKSO7G,Audi,A4,2002,2,Hybrid,35983.39
VINYNPPXEXJD3KDHR,Hyundai,Santa Fe,2022,1.8,Hybrid,42818.76
VINP8OAP5PA9KOVKM,Hyundai,Ioniq,2014,2.3,Diesel,54704.3
VINCWJW6Y7WHIQDSS,BMW,5 Series,2018,2.6,Diesel,32635.6
VIN8QJV0CLYV7ZD0A,BMW,5 Series,2006,3.5,,45329.57
VINOJST53U7DZXMNU,Audi,A4,2004,2.7,Hybrid,45291.5
VINWFSABLFKIGTPTN,BMW,5 Series,2018,1.9,Hybrid,49676.36
VINAYEQ6LKG15VZ3F,Volkswagen,Golf,2017,3.4,Hybrid,25624.79
VIN1UVJB14X4C3E8U,Chevrolet,Cruze,2017,2.5,Petrol,50874.91
VIN5N9FVXVDBR5YBI,Tesla,Model S,2013,0.01071723,Electric,44519.65
VINKNNMJ25NVP1UAD,Nissan,Rogue,2003,2.8,Petrol,29501.99
VINXSH6CMFEBT46B0,Mercedes-Benz,C-Class,2005,1.4,Diesel,45643.36
VIN9RP04PE3A3D7LF,Toyota,Highlander,2014,1.7,Petrol,48901.11
VINYGZPFUHEAIJE85,Audi,A4,2007,2.2,Diesel,59651.44
VINMEFKD9105JBQGJ,Ford,Explorer,2013,1.4,Petrol,35130
VING2MR7HIKS23GUS,Toyota,Prius,2003,2,Hybrid,27084.79
VINDY73EYMA1U4S39,Chevrolet,Equinox,2018,1.6,Petrol,42066.93
VINMOLEJGMXPIH4ZO,Mercedes-Benz,GLC,2020,2.8,Diesel,39162.25
VINWN2XXN3V446QGJ,Chevrolet,Cruze,2005,2.6,Hybrid,25887.87
VINHZY079MJNKJ26F,Chevrolet,Malibu,2000,3.3,Hybrid,33025.97
VINOV5HCHXG2J2G0U,Hyundai,Santa Fe,2018,2.8,Diesel,36915.05
VIN4Y4DSVHJQGXUJ1,Nissan,Sentra,2020,2.4,Diesel,48746.83
VINDQLZRC8ZW9IBZ3,BMW,3 Series,2017,1.1,Diesel,54099.94
VIN5PE8XYVOKNIWXM,Audi,A3,2012,1.4,Diesel,46228.58
VINOYBOY3JR0Q28JB,Toyota,Prius,2014,3.1,Hybrid,47556.23
VINP0524RC51X2SGS,Volkswagen,ID.4,2016,0.022458499,Electric,66674.94
VINZCP8HKAL3SMTMM,Mercedes-Benz,GLC,2006,2.8,Diesel,20602.09
VINE1YWNHYH3KRQ5Q,Nissan,Rogue,2008,1.8,Hybrid,25034.37
VIN0ALT2LBNL0CMES,Chevrolet,Equinox,2004,1.8,Petrol,35043.91
VINJB3TW4T7YVU389,Hyundai,Kona Electric,2021,0.090479391,Electric,45703.67
VINCYN1YNRHN3Y468,BMW,X3,2016,3.2,Hybrid,
VINTYTW46516EIH2A,BMW,5 Series,2003,2.9,Hybrid,34323.29
VIN2XPFWDG771QNL2,Toyota,Corolla,2015,2,Hybrid,40320.56
VINZO3M2E1LVJUJQ9,Mercedes-Benz,C-Class,2002,1.1,Hybrid,41551.55
VINW4W1OXXT2LOXGU,Tesla,Model 3,2003,0.075539586,Electric,40759.2
VIN5W0COIG0SR4W0T,Ford,Mustang,2002,3.2,Diesel,27970.58
VIN2GXFDF4I1E3S6T,Hyundai,Kona Electric,2020,0.091230456,Electric,41623.16
VINSHDRE35KFZDTSU,BMW,3 Series,2013,3.2,Petrol,23452.84
VINOR0A3K8648N9QF,Audi,A3,2007,3.4,Hybrid,41397.87
VINSPTZKKY2ASX3NA,BMW,X3,2021,1.4,Diesel,20942.81
VINO53EX1D9OPE6PV,Tesla,Model X,2007,0.061171407,Electric,59575.94
VINJCWAC9UU97NOP6,Audi,A3,2015,2.2,Diesel,41019.93
VINRXY84S5QKOKN51,Nissan,Leaf,2011,2.7,Electric,45493.67
VINK46BY9E1SDH5XJ,Chevrolet,Malibu,2015,1.6,Petrol,39282.1
VINW8FSAYSLQOG3OJ,BMW,X5,2002,2.2,Petrol,41766
VING9PTOZMKGNKWBJ,Nissan,Rogue,2017,2.6,Diesel,33811.41
VINT61T7I3CG91WJ1,Tesla,Model X,2018,0.001287163,Electric,66588.71
VIN1QQF85B311ZXRE,Hyundai,Kona Electric,2018,0.056924371,Electric,32612.16
VIN2JI3FMF8V1KUZG,Nissan,Rogue,2023,1.6,Hybrid,37955.92
VINIRE696F18SKAGI,Hyundai,Ioniq,2008,2.5,,28209.75
VIN5EWUF2UQ9ARVDX,Mercedes-Benz,C-Class,2003,3.3,Petrol,49975.06
VINBZPC23MDJG2JGJ,Hyundai,Ioniq,2006,3.4,Diesel,50634.67
VINWC9Z5E0UEC7YUY,Tesla,Model 3,2023,0.04926692,Electric,42326.23
VINPVPG98VALTNON0,Chevrolet,Equinox,2015,2.1,Diesel,20024.37
VIN0QUCFFJFIZDPSN,BMW,X5,2011,2.2,Petrol,
VINX5AFG73CV7W4GK,Tesla,Model 3,2012,0.06171886,Electric,79018.32
VINBZT207N9V3I2EN,Tesla,Model 3,2018,0.061679426,Electric,68294.12
VINZD4PY6124XYSIS,BMW,5 Series,2008,1.7,Hybrid,44719.31
VIN3ZACWBS133FV2T,BMW,5 Series,2005,3,Hybrid,36961.08
VINU5C3FR2YVLZ1GP,Ford,Explorer,2004,1.1,Diesel,51246.65
VINE58MED9VBKSGTQ,Hyundai,Ioniq,2000,1.4,Diesel,49376.3
VIN9HJG4M490BE12H,Toyota,Highlander,2020,2.9,Diesel,41147.87
VIN1P5Q4TJ5U0JUBD,Ford,F-150,2011,2,Petrol,59544.64
VIN7RYFG6SJ2LFZ21,BMW,5 Series,2010,2.2,Hybrid,42484.02
VINYEX46ZQWKGP9EI,Audi,A3,2004,2.1,Hybrid,34841.47
VINGS6SG9EHJ7VNKZ,Chevrolet,Equinox,2014,1.3,Diesel,31510.35
VINGVVA42L7JU8VXD,Toyota,Corolla,2007,1.2,Diesel,49853.37
VINQYZPBO1GW7HWYB,Hyundai,Ioniq,2007,1.6,Diesel,36378.77
VINMI8AX1ASJ5UVSE,Chevrolet,Equinox,2002,1.2,Diesel,46486.55
VIN5QCTNPZUYBMSBN,BMW,X5,2004,2.5,Diesel,46633.49
VIN1Q1934CWA3N6TQ,Tesla,Model Y,2000,0.014040291,Electric,54746.02
VIN6YFE1Z903TW1IJ,Audi,A4,2012,1.2,Hybrid,31781.54
VINV1FAW7RI2SHFR8,BMW,3 Series,2013,3.3,Petrol,53520.16
VINCOUUJ57VIDHET0,Audi,A3,2001,3.1,Petrol,56251.96
VINYKYJ0BGGAXKU4S,Toyota,Highlander,2017,1.5,Diesel,55378.59
VINRBFAXD3HX8D4GX,Nissan,Sentra,2010,1.6,Petrol,43493.98
VINP77CKV6NMTTAO6,BMW,5 Series,2011,1.7,Diesel,47062.48
VINDKS1V2X4O54KBI,Mercedes-Benz,C-Class,2016,2.3,Petrol,20288.38
VINA5SSDAM1A717Q5,Mercedes-Benz,C-Class,2008,2.3,Diesel,34968.35
VINIGX52APDGINMWQ,Volkswagen,Golf,2009,1.7,Petrol,37273.48
VING883T7EQDL03Z3,Hyundai,Kona Electric,2020,0.053709234,Electric,44403.17
VIN5NZP5O9HKNIQLS,Hyundai,Elantra,2012,2.7,Hybrid,29154.2
VINFG96A7V3379BHK,Chevrolet,Bolt EV,2014,1.9,Hybrid,25187.48
VING3WZGDFLDFETE6,Hyundai,Ioniq,2005,1.9,Petrol,52771.14
VINN1MTIT0U1ZMLYP,Toyota,Corolla,2015,2,,49213.01
VINK0VAVDNLU9KE3W,Toyota,Highlander,2006,3,Petrol,48095.72
VING22I64IWDT1YDT,Tesla,Model Y,2000,0.040029443,Electric,77560.05
VINPGBJGS574SGRXU,Ford,Explorer,2019,2.3,Petrol,31813.32
VIN4WME1V02QCS8TO,Tesla,Model Y,2014,0.071352953,Electric,69487.29
VINQPOWIMNYQ9HL05,Chevrolet,Equinox,2010,1.6,Diesel,48020.11
VINLSEDK5NTAT508D,Audi,e-tron,2018,3.1,Electric,
VINPGTO1L98ABVWX1,Chevrolet,Malibu,2012,1,Diesel,27827.49
VINSXBE5CVLRROVPR,BMW,3 Series,2023,2.5,Hybrid,32612.23
VINC50129UCXDFWS5,Nissan,Altima,2018,3.4,Hybrid,28832.86
VIN4SCO90W4YRJCIF,Nissan,Rogue,2000,2.5,Hybrid,27959.07
VINWIBXX2TOZOGTBN,Toyota,Camry,2020,1.2,Diesel,37361.43
VIN0RBACGAQ1V2PNT,Tesla,Model X,2015,0.068057389,Electric,56027.22
VINWOLQ6SJEN4K75P,Audi,e-tron,2021,2.2,Electric,23167.08
VIN0T9FSFA665ZDQK,Volkswagen,Golf,2008,1.8,Petrol,21707.32
VINDM8JF1HKI268ON,Volkswagen,ID.4,2010,0.078781398,Electric,65625.24
VINTNQAOLOEWQ0UZ2,Chevrolet,Bolt EV,2006,2.1,Petrol,31501.09
VINCS1QRV1VJLZ4HV,Toyota,Highlander,2010,2.6,Diesel,45563.99
VINF5G5KWE6MMRXMI,Mercedes-Benz,GLC,2019,1.8,Diesel,56957.72
VIN0MFU28PMFUD3OQ,BMW,X5,2022,1.6,Petrol,45457.44
VIN8RUQRGPNX638RN,Tesla,Model X,2016,0.046618021,Electric,79398.75
VIN5XVM6OXOWJV3TB,Mercedes-Benz,C-Class,2017,2.4,Diesel,26285.05
VINB75RPS8CDVLWBO,Volkswagen,Passat,2000,3.3,Hybrid,47250.65
VIN89VNNC6K1F0FEH,Volkswagen,Golf,2008,2.2,Petrol,44456.45
VIN7ZJILW28KES0GN,Mercedes-Benz,EQC,2019,0,Electric,39103.7
VINS93MVNT4G0WSNH,BMW,X3,2002,2.4,Hybrid,40521.06
VIN47NH7TL34LHMFT,Chevrolet,Equinox,2011,3,Hybrid,34049.23
VIN0BELV5409HTIXS,Tesla,Model 3,2009,0.055824808,Electric,44758.87
VIN4UPHDDD9ICCP6T,Volkswagen,ID.4,2015,0.017668284,Electric,65680.59
VINNGZEGG658B65JW,Nissan,Leaf,2011,2.8,Electric,47358.92
VINFK8B10Z3BR0DJC,Tesla,Model S,2014,0.002096486,Electric,33996.76
VIN2I7A0FML0N6LEK,Audi,Q5,2007,3.3,Diesel,39845.03
VINSJDJZDWWIQD6NI,Volkswagen,ID.4,2007,0.028314745,Electric,
VIN79ISGWJPI5W8SA,Hyundai,Elantra,2011,2.5,Diesel,26847.7
VINJIORWKJAG6KWMU,Ford,Explorer,2006,1.2,Hybrid,37459.03
VINK67ZQ7KFT91CZM,BMW,3 Series,2022,1.5,Petrol,40240.65
VINEDHR55UZ84A5SV,Volkswagen,ID.4,2016,0.020472075,Electric,59059.54
VININXJNHT610K3CK,Chevrolet,Equinox,2000,3.2,Diesel,29289.12
VINORGAQDZZFYF6UC,Mercedes-Benz,C-Class,2013,1.5,Diesel,50293.84
VINSH3WH558ZQUI89,Ford,Explorer,2000,2.7,Diesel,36816.54
VIN5VF4QSRT9T961R,Mercedes-Benz,C-Class,2010,2,Petrol,49819.2
VINVM65K6VOV7LPY4,BMW,X5,2001,3.5,Petrol,59302.79
VIN2G7L0HJY7S0VSW,BMW,X5,2007,1.2,Diesel,47651.3
VINR9XSL9E6YLRXTO,Toyota,Corolla,2016,1.6,Petrol,23929.74
VINIPLGJODENHXZQC,Chevrolet,Cruze,2023,2.6,Petrol,51217.42
VINZNE3MSNJHNQAU9,Toyota,Corolla,2019,1.5,Hybrid,25007.38
VINM1SUFS9GE78LL0,Hyundai,Elantra,2005,1.2,Diesel,35036.23
VIN01YMVS4G3PZQ8M,Ford,Mustang,2012,2.2,Petrol,44481.38
VIN71CBLYKJEFPBGP,Hyundai,Kona Electric,2019,0.055575664,Electric,44246.49
VINLOAO8C9N65L3XP,BMW,5 Series,2019,2.9,Hybrid,37187.88
VIN3M7LWFIZQD8605,Tesla,Model X,2019,0.016400296,Electric,43026.37
VINVGXT8KI4K41112,Audi,Q5,2002,1.3,Hybrid,44095.79
VIN5ZX54C31Y30HD1,Mercedes-Benz,C-Class,2004,1.7,Petrol,46664.94
VINQJ23HPMWWL8N81,Nissan,Rogue,2004,2.7,,32315.74
VINNBC5LYGEUHT026,BMW,5 Series,2019,3.3,Diesel,30035.96
VINCPX6VYAZYCY7VX,Nissan,Sentra,2015,1.4,Hybrid,41155.36
VIN612KLP5CG9UH68,Mercedes-Benz,GLC,2016,2.8,Hybrid,41338.54
VINJ3JT17J6XJAFK7,Mercedes-Benz,C-Class,2023,1.8,,41515.68
VIN62918A5Z3NQYLX,Audi,e-tron,2018,2.3,Electric,43147.15
VINXGZV3EYZQDYHL9,Tesla,Model 3,2009,0.002397248,Electric,72980.36
VINI9M05VVCN4BW9A,Hyundai,Kona Electric,2018,0.007940791,Electric,76093.1
VINELUWKQMLACVEVV,Toyota,Camry,2019,2.7,Hybrid,28932.36
VINBDBKFZRZLY5TGW,Mercedes-Benz,GLC,2012,1.4,Diesel,34777.43
VINWOWQXERMP8QIS4,Mercedes-Benz,EQC,2019,0,Electric,35050.97
VINW5TY6WUEVB31TB,Toyota,Corolla,2019,1.9,Diesel,47964.32
VINTSDQ1PVFLO2G53,Tesla,Model S,2006,0.089621229,Electric,64511.56
VINMXBN1FARS8LL7S,Chevrolet,Equinox,2003,3.3,Hybrid,38043.29
VINPX3PJMLNPKCZ76,Mercedes-Benz,E-Class,2002,1.1,Petrol,21144.91
VINBRFYAXD7M1FN80,BMW,X5,2014,1.4,Diesel,30805.94
VINUNT7AUPI1QG35O,Mercedes-Benz,E-Class,2002,2.7,Hybrid,37520.87
VINALOHZQND5QB3FP,BMW,X3,2016,2.9,Diesel,47951.98
VINTFTAFQTNBO1P3M,Nissan,Altima,2022,3.1,Hybrid,29861.42
VINDVQ1M57S83FBA0,BMW,3 Series,2023,1.6,Petrol,52090.6
VIND7UBGXD2WOIBAH,Nissan,Leaf,2010,1.4,Electric,26660.07
VIN1L8YU84ZPV8LVL,Nissan,Altima,2003,1.7,Diesel,51680.69
VINXGYVMG6J7IS47Z,Mercedes-Benz,EQC,2019,0,Electric,28569.66
VINESPNF9VQSYA7EN,BMW,5 Series,2011,3,Diesel,42240.71
VIN85I4MKNLJV6MZZ,Toyota,Highlander,2003,2.9,Diesel,
VINRABVBQT0Z6J14R,Toyota,Prius,2016,2.1,Hybrid,
VINZ3VPQGD62DAY8C,Volkswagen,ID.4,2018,0.076845056,Electric,33817.77
VINQK513JJWJ46651,BMW,3 Series,2017,1,Diesel,40337.32
VIN5STPB1DEN4FLZS,Hyundai,Kona Electric,2022,0.077112974,Electric,75628.18
VINL0EDEOTUWEYM2L,Tesla,Model S,2003,0.092648974,Electric,48858.83
VINFYWIPK3NMP9WCJ,Volkswagen,Golf,2009,1.8,Petrol,
VIN4Y3DEUVGERPZ5F,Volkswagen,ID.3,2022,0.099731671,Electric,52671
VINI9C9F6ISRLH8R4,Audi,e-tron,2021,3.5,Electric,57338.06
VINJVXR90OCDWIG39,Audi,Q5,2012,1.4,Diesel,34474.06
VINJNJODVSCIFR59O,Volkswagen,ID.3,2022,0.045825199,Electric,75979.13
VIN74XCT3UPDYL5S3,Hyundai,Ioniq,2006,3,Petrol,56270.24
VIN1ZLTWFV1AC6EAJ,Chevrolet,Cruze,2023,2.4,Diesel,57353.68
VIN55784HQICNS18K,Audi,A4,2011,1.2,Hybrid,35556.08
VIN1IU11MPQQO39WY,Tesla,Model X,2018,0.024505001,Electric,36258.08
VINOBYT25L3IG33H7,Ford,Focus,2020,2.4,,25382.07
VINKJT9ZKTIYOS1A3,Audi,A3,2001,2.2,Petrol,59243.31
VINUWMKFB6A49I084,Toyota,Corolla,2022,2,Petrol,53407.32
VINRSCKQ9BBOOZDB3,Chevrolet,Bolt EV,2008,1.5,Hybrid,48725.07
VINF1IA6UTW0X4T92,Ford,Explorer,2010,3,Diesel,47934.18
VIN0W43C7XFMQYGI4,BMW,3 Series,2001,2.4,Hybrid,34937.53
VIN3Z0MPERK0YGQDQ,Mercedes-Benz,GLC,2009,1.5,Diesel,43978.27
VINVPG9FMO7PYNHGB,Audi,A4,2009,1.5,Hybrid,37002.14
VINWK7Y137FX0S88Q,Nissan,Rogue,2006,3.2,Hybrid,32313.45
VINEG97RQJFVMNLGN,Volkswagen,Passat,2021,2.5,Diesel,34250.48
VINO8P9J606LDO41T,Tesla,Model 3,2010,0.084726693,Electric,72413.09
VINBQBAQBSNHNZBZ0,Mercedes-Benz,EQC,2019,0,Electric,49678.14
VINUZCSVYE0D2I0L5,Audi,A4,2014,3.2,Diesel,57632.5
VIN5QT56MOHDA6U6X,BMW,3 Series,2008,2.9,Hybrid,34159.02
VINSC8AYSPZASYDRH,Audi,A4,2010,1.8,Petrol,42559.73
VIN01RCEZXIMVU9S5,Volkswagen,ID.3,2021,0.0247533,Electric,71666.35
VINCUXSIDNC70GT0B,BMW,3 Series,2000,1.8,Diesel,49016.37
VINLJLNWRZ352O1KR,Hyundai,Santa Fe,2016,2.2,Diesel,26873.6
VINV31HZ3FGQWHXW3,Mercedes-Benz,E-Class,2011,1.4,Petrol,56665.78
VINQKY9OES058Y60V,Volkswagen,Golf,2012,1.7,Diesel,37991.43
VINYKOIGFCBPJ6IA2,Tesla,Model Y,2007,0.03457791,Electric,64605.96
VINTW950D6ZKYXV7J,Nissan,Leaf,2019,3.3,Electric,39019.29
VIN6KEFV928UK6Q3X,BMW,X3,2007,1.7,Hybrid,31433.43
VIN6IPU9QOVL5JNIU,Ford,Focus,2009,1.2,Petrol,35166.19
VINWCER3HPXZY7GU8,Audi,e-tron,2022,1.8,Electric,30569.18
VINSR8DYKWAR9LTJO,Audi,e-tron,2018,1.2,Electric,40200.35
VIN6N01GQ9LL4L11R,Chevrolet,Malibu,2015,2.7,Hybrid,33060.73
VINHWLHYN2DD5CVZ3,Volkswagen,ID.3,2022,0.013012361,Electric,39617.24
VIN040JI3KOKKFVPW,Nissan,Rogue,2011,1.7,Petrol,31168.68
VINJCST530E3USU7D,Ford,Focus,2005,1.2,Diesel,27406.33
VIN5C7E03ZBJZKLB8,Volkswagen,Golf,2019,1.9,Petrol,50704.48
VIN44VWULZQ5YZRSM,Nissan,Sentra,2006,2.6,Diesel,45187.9
VINOVKW0TAVWIPTTF,Volkswagen,ID.3,2021,0.087219647,Electric,44015.46
VINLPHUFE6Z4W8F1O,BMW,X3,2015,2.5,Petrol,42453.89
VINJ9PP16Y9GM9WPS,Toyota,Corolla,2021,2.5,Hybrid,39449.45
VINGGBSY7X0UQLU1C,Chevrolet,Malibu,2009,3.2,Diesel,20140.28
VIN62MKJ1I3YHIDY3,Hyundai,Elantra,2022,3.2,Petrol,28099.22
VIN8USMGZ4OYGTAA5,Volkswagen,Golf,2023,3,Hybrid,49902.11
VINI9N1LKLD9NDP4I,Ford,Mustang,2002,3.2,Diesel,54722.02
VINRNPQEXVJS906N5,Tesla,Model S,2000,0.055050009,Electric,74313.55
VIN08NDTCT8QSGF67,Ford,F-150,2014,3.3,Hybrid,36955.7
VINW70KCP6N9ZD5QY,Chevrolet,Malibu,2013,3.3,Hybrid,
VINF9LH7HLYIXHC1N,Toyota,Highlander,2015,1.5,Petrol,27876.43
VINCV81WQCEWWU4XO,BMW,X5,2016,1.3,Petrol,51940.28
VIN03YNPWME3F7L84,Audi,A3,2022,1.1,Hybrid,44839.69
VINS926ZT6XU88CP6,Ford,Explorer,2017,3.1,Hybrid,45831.61
VINN5QQRY1IDAQV02,Hyundai,Kona Electric,2018,0.014193234,Electric,53007.5
VINVO4IU333K7O26L,Mercedes-Benz,GLC,2009,2.6,Diesel,41722.78
VINCEMD8FTX0O88IC,Hyundai,Elantra,2019,1.2,Hybrid,39315.45
VINZZWTU7UQF91IPN,Volkswagen,ID.4,2011,0.088991394,Electric,38467.41
VING2PAFGBYE72X1G,Mercedes-Benz,EQC,2019,0,Electric,32408.42
