Car_VIN,Sales_Count,Customer_Rating,Region
VINC1KM3TNBN694OR,324,4.2,East
VINFEXZOYTNGC66F0,329,1.4,North
VINVWGLYMDFX6VYSG,384,1.7,West
VINN5A3H4ORQMJ2YT,142,2.7,South
VIN3HH6S3Y5NWLKAM,492,1.3,East
VIN1BJAYKT7K1PV4S,118,3.2,North
VINAF5O8Q5SAWJQ09,143,4.4,West
VIN0XFWW7TWOHFWPG,444,1.2,South
VIN9REMTVM4WU0LP2,315,4.7,West
VIN7WI08K0WMKA28X,363,2.9,West
VIN9H6QTOMP62VVRS,483,4.9,West
VINY0185ND5GAI6Y4,183,4.2,East
VINF3BAECF41SQYGP,182,1.7,West
VINWQHD3WXC5XU648,145,2.6,West
VINTALKOL9MIN57J0,426,4.8,West
VINLUVLCNK5LG6S0U,70,1.1,North
VINPJ5YUO2T6FCXZN,335,1.7,North
VIN96IBKJHADKSO7G,234,1.4,West
VINYNPPXEXJD3KDHR,286,4.0,West
VINP8OAP5PA9KOVKM,140,4.0,East
VINCWJW6Y7WHIQDSS,58,3.5,North
VIN8QJV0CLYV7ZD0A,446,2.4,South
VINOJST53U7DZXMNU,125,3.4,South
VINWFSABLFKIGTPTN,402,3.6,West
VINAYEQ6LKG15VZ3F,496,4.7,West
VIN1UVJB14X4C3E8U,421,1.3,East
VIN5N9FVXVDBR5YBI,59,1.7,South
VINKNNMJ25NVP1UAD,208,4.6,South
VINXSH6CMFEBT46B0,188,1.6,South
VIN9RP04PE3A3D7LF,83,1.1,South
VINYGZPFUHEAIJE85,499,2.6,West
VINMEFKD9105JBQGJ,358,2.0,North
VING2MR7HIKS23GUS,368,3.5,East
VINDY73EYMA1U4S39,497,4.5,South
VINMOLEJGMXPIH4ZO,485,2.5,South
VINWN2XXN3V446QGJ,322,2.3,North
VINHZY079MJNKJ26F,416,4.4,North
VINOV5HCHXG2J2G0U,135,3.9,West
VIN4Y4DSVHJQGXUJ1,329,4.6,East
VINDQLZRC8ZW9IBZ3,222,1.3,South
VIN5PE8XYVOKNIWXM,354,4.7,West
VINOYBOY3JR0Q28JB,407,2.0,West
VINP0524RC51X2SGS,476,3.6,North
VINZCP8HKAL3SMTMM,192,1.4,North
VINE1YWNHYH3KRQ5Q,175,3.7,West
VIN0ALT2LBNL0CMES,60,1.7,West
VINJB3TW4T7YVU389,75,2.4,South
VINCYN1YNRHN3Y468,118,4.1,West
VINTYTW46516EIH2A,71,4.1,North
VIN2XPFWDG771QNL2,284,2.6,West
VINZO3M2E1LVJUJQ9,312,2.2,West
VINW4W1OXXT2LOXGU,248,2.8,South
VIN5W0COIG0SR4W0T,213,1.8,North
VIN2GXFDF4I1E3S6T,472,3.7,East
VINSHDRE35KFZDTSU,304,3.3,North
VINOR0A3K8648N9QF,338,1.8,South
VINSPTZKKY2ASX3NA,268,3.4,South
VINO53EX1D9OPE6PV,417,2.1,West
VINJCWAC9UU97NOP6,75,3.7,South
VINRXY84S5QKOKN51,369,4.5,South
VINK46BY9E1SDH5XJ,496,4.6,South
VINW8FSAYSLQOG3OJ,145,3.7,East
VING9PTOZMKGNKWBJ,51,4.3,East
VINT61T7I3CG91WJ1,254,2.4,South
VIN1QQF85B311ZXRE,178,1.9,West
VIN2JI3FMF8V1KUZG,122,1.1,South
VINIRE696F18SKAGI,175,4.8,West
VIN5EWUF2UQ9ARVDX,93,1.1,North
VINBZPC23MDJG2JGJ,167,2.1,West
VINWC9Z5E0UEC7YUY,155,4.3,East
VINPVPG98VALTNON0,396,1.6,South
VIN0QUCFFJFIZDPSN,493,2.0,East
VINX5AFG73CV7W4GK,161,4.8,North
VINBZT207N9V3I2EN,204,1.5,East
VINZD4PY6124XYSIS,352,4.5,North
VIN3ZACWBS133FV2T,373,3.6,North
VINU5C3FR2YVLZ1GP,435,2.7,West
VINE58MED9VBKSGTQ,302,4.7,North
VIN9HJG4M490BE12H,331,3.0,East
VIN1P5Q4TJ5U0JUBD,132,1.6,East
VIN7RYFG6SJ2LFZ21,394,3.4,West
VINYEX46ZQWKGP9EI,229,1.4,North
VINGS6SG9EHJ7VNKZ,87,3.0,South
VINGVVA42L7JU8VXD,489,1.5,East
VINQYZPBO1GW7HWYB,267,4.1,East
VINMI8AX1ASJ5UVSE,97,4.7,South
VIN5QCTNPZUYBMSBN,369,3.3,North
VIN1Q1934CWA3N6TQ,108,3.3,South
VIN6YFE1Z903TW1IJ,233,2.2,West
VINV1FAW7RI2SHFR8,305,2.9,North
VINCOUUJ57VIDHET0,417,2.4,North
VINYKYJ0BGGAXKU4S,404,3.9,West
VINRBFAXD3HX8D4GX,77,2.6,North
VINP77CKV6NMTTAO6,178,2.1,North
VINDKS1V2X4O54KBI,360,4.1,East
VINA5SSDAM1A717Q5,152,2.3,South
VINIGX52APDGINMWQ,282,1.5,North
VING883T7EQDL03Z3,248,1.8,West
VIN5NZP5O9HKNIQLS,85,2.7,South
VINFG96A7V3379BHK,329,1.3,South
VING3WZGDFLDFETE6,342,4.3,West
VINN1MTIT0U1ZMLYP,216,1.8,East
VINK0VAVDNLU9KE3W,395,2.4,South
VING22I64IWDT1YDT,416,2.4,South
VINPGBJGS574SGRXU,358,4.9,South
VIN4WME1V02QCS8TO,291,3.7,South
VINQPOWIMNYQ9HL05,462,4.1,North
VINLSEDK5NTAT508D,396,2.5,North
VINPGTO1L98ABVWX1,285,4.9,South
VINSXBE5CVLRROVPR,103,2.1,North
VINC50129UCXDFWS5,336,3.7,East
VIN4SCO90W4YRJCIF,275,2.7,West
VINWIBXX2TOZOGTBN,254,4.3,North
VIN0RBACGAQ1V2PNT,334,4.5,West
VINWOLQ6SJEN4K75P,499,4.8,East
VIN0T9FSFA665ZDQK,150,4.7,West
VINDM8JF1HKI268ON,464,3.7,South
VINTNQAOLOEWQ0UZ2,174,1.4,East
VINCS1QRV1VJLZ4HV,63,1.6,North
VINF5G5KWE6MMRXMI,93,1.1,West
VIN0MFU28PMFUD3OQ,461,3.0,North
VIN8RUQRGPNX638RN,488,2.0,West
VIN5XVM6OXOWJV3TB,191,5.0,East
VINB75RPS8CDVLWBO,110,4.6,West
VIN89VNNC6K1F0FEH,478,4.5,East
VIN7ZJILW28KES0GN,98,4.0,East
VINS93MVNT4G0WSNH,459,3.4,North
VIN47NH7TL34LHMFT,63,3.9,West
VIN0BELV5409HTIXS,74,2.2,South
VIN4UPHDDD9ICCP6T,98,3.8,South
VINNGZEGG658B65JW,354,1.8,North
VINFK8B10Z3BR0DJC,373,3.6,East
VIN2I7A0FML0N6LEK,405,1.9,West
VINSJDJZDWWIQD6NI,359,4.1,East
VIN79ISGWJPI5W8SA,180,1.3,West
VINJIORWKJAG6KWMU,197,1.2,South
VINK67ZQ7KFT91CZM,190,1.0,East
VINEDHR55UZ84A5SV,91,3.3,West
VININXJNHT610K3CK,354,1.7,West
VINORGAQDZZFYF6UC,466,2.5,North
VINSH3WH558ZQUI89,209,1.6,East
VIN5VF4QSRT9T961R,361,3.0,South
VINVM65K6VOV7LPY4,362,1.8,South
VIN2G7L0HJY7S0VSW,474,3.6,East
VINR9XSL9E6YLRXTO,129,1.2,North
VINIPLGJODENHXZQC,140,2.7,West
VINZNE3MSNJHNQAU9,158,2.4,West
VINM1SUFS9GE78LL0,305,1.4,East
VIN01YMVS4G3PZQ8M,443,3.3,South
VIN71CBLYKJEFPBGP,271,1.9,East
VINLOAO8C9N65L3XP,421,4.9,South
VIN3M7LWFIZQD8605,161,1.1,South
VINVGXT8KI4K41112,82,3.5,South
VIN5ZX54C31Y30HD1,108,2.8,East
VINQJ23HPMWWL8N81,302,4.9,North
VINNBC5LYGEUHT026,339,3.7,North
VINCPX6VYAZYCY7VX,460,2.9,North
VIN612KLP5CG9UH68,420,1.1,South
VINJ3JT17J6XJAFK7,296,1.2,West
VIN62918A5Z3NQYLX,259,1.2,South
VINXGZV3EYZQDYHL9,420,4.4,South
VINI9M05VVCN4BW9A,278,2.2,East
VINELUWKQMLACVEVV,473,4.1,West
VINBDBKFZRZLY5TGW,468,3.3,East
VINWOWQXERMP8QIS4,286,4.4,South
VINW5TY6WUEVB31TB,135,1.3,North
VINTSDQ1PVFLO2G53,420,2.0,West
VINMXBN1FARS8LL7S,424,3.8,East
VINPX3PJMLNPKCZ76,100,1.3,North
VINBRFYAXD7M1FN80,370,2.1,West
VINUNT7AUPI1QG35O,257,2.5,East
VINALOHZQND5QB3FP,79,4.8,West
VINTFTAFQTNBO1P3M,89,4.2,West
VINDVQ1M57S83FBA0,489,4.3,South
VIND7UBGXD2WOIBAH,323,2.2,East
VIN1L8YU84ZPV8LVL,444,2.2,East
VINXGYVMG6J7IS47Z,499,1.6,East
VINESPNF9VQSYA7EN,138,4.5,South
VIN85I4MKNLJV6MZZ,65,3.2,West
VINRABVBQT0Z6J14R,104,2.6,East
VINZ3VPQGD62DAY8C,413,2.7,North
VINQK513JJWJ46651,279,5.0,North
VIN5STPB1DEN4FLZS,176,4.0,East
VINL0EDEOTUWEYM2L,323,4.9,East
VINFYWIPK3NMP9WCJ,337,3.8,South
VIN4Y3DEUVGERPZ5F,433,2.1,North
VINI9C9F6ISRLH8R4,154,2.3,South
VINJVXR90OCDWIG39,134,3.5,West
VINJNJODVSCIFR59O,67,4.0,North
VIN74XCT3UPDYL5S3,213,4.4,South
VIN1ZLTWFV1AC6EAJ,391,4.9,South
VIN55784HQICNS18K,108,4.7,East
VIN1IU11MPQQO39WY,271,4.1,North
VINOBYT25L3IG33H7,114,1.2,South
VINKJT9ZKTIYOS1A3,487,2.1,South
VINUWMKFB6A49I084,297,1.4,West
VINRSCKQ9BBOOZDB3,483,1.3,East
VINF1IA6UTW0X4T92,378,1.2,North
VIN0W43C7XFMQYGI4,54,2.3,North
VIN3Z0MPERK0YGQDQ,346,4.2,North
VINVPG9FMO7PYNHGB,332,3.9,East
VINWK7Y137FX0S88Q,174,4.1,South
VINEG97RQJFVMNLGN,166,4.0,East
VINO8P9J606LDO41T,91,1.2,South
VINBQBAQBSNHNZBZ0,449,4.5,North
VINUZCSVYE0D2I0L5,478,1.8,South
VIN5QT56MOHDA6U6X,95,3.0,East
VINSC8AYSPZASYDRH,492,1.2,West
VIN01RCEZXIMVU9S5,348,3.3,South
VINCUXSIDNC70GT0B,378,4.3,South
VINLJLNWRZ352O1KR,254,1.9,South
VINV31HZ3FGQWHXW3,103,2.4,North
VINQKY9OES058Y60V,491,2.3,North
VINYKOIGFCBPJ6IA2,370,2.0,East
VINTW950D6ZKYXV7J,63,3.0,East
VIN6KEFV928UK6Q3X,491,4.6,South
VIN6IPU9QOVL5JNIU,210,1.7,West
VINWCER3HPXZY7GU8,222,4.0,South
VINSR8DYKWAR9LTJO,171,4.6,North
VIN6N01GQ9LL4L11R,257,1.3,North
VINHWLHYN2DD5CVZ3,292,2.6,West
VIN040JI3KOKKFVPW,201,3.0,East
VINJCST530E3USU7D,365,3.6,East
VIN5C7E03ZBJZKLB8,63,3.1,East
VIN44VWULZQ5YZRSM,465,1.8,West
VINOVKW0TAVWIPTTF,426,4.9,East
VINLPHUFE6Z4W8F1O,463,1.3,North
VINJ9PP16Y9GM9WPS,358,3.9,South
VINGGBSY7X0UQLU1C,128,2.4,West
VIN62MKJ1I3YHIDY3,267,4.7,South
VIN8USMGZ4OYGTAA5,408,3.9,West
VINI9N1LKLD9NDP4I,452,3.3,East
VINRNPQEXVJS906N5,84,2.4,East
VIN08NDTCT8QSGF67,358,3.6,West
VINW70KCP6N9ZD5QY,480,2.7,East
VINF9LH7HLYIXHC1N,203,3.2,South
VINCV81WQCEWWU4XO,255,4.0,East
VIN03YNPWME3F7L84,230,3.6,West
VINS926ZT6XU88CP6,498,4.6,South
VINN5QQRY1IDAQV02,113,1.3,North
VINVO4IU333K7O26L,327,1.9,East
VINCEMD8FTX0O88IC,408,1.1,South
VINZZWTU7UQF91IPN,388,2.0,North
VING2PAFGBYE72X1G,66,4.6,North
VINPMDS5HUIMXGR1O,433,4.0,South
VIN7AE4S26IG0EFU4,291,4.2,North
VINDBYA7Z4JNZTU4K,160,2.0,East
VINQT9LD7BQNYRUCN,53,3.3,West
VIN01DSUP36GVY7H5,489,2.0,North
VIN07PLY6XNJUOSQD,401,1.8,South
VINNSMZ852Z0Q0MH0,185,1.4,North
VINFTQQ1O1O6JM6M1,182,5.0,West
VINI0F1OCM28IQ0F3,339,2.0,South
VINGUE6O7KHVZZ79G,342,2.1,South
VINWZTFG7MSJ03QX6,110,3.1,North
VINPSN6ONRAP62AN1,249,2.5,West
VINRGM7QTNO8KF86U,96,3.0,North
VINK47UQ374PSQXMT,388,2.6,South
VINJXE2L7W8VX6D9S,456,4.0,North
VINYTJJUUHHQ9VES2,175,2.0,West
VINYQNBPAFKTTYHTY,290,1.4,East
VINJPE7C6L6UJBZI4,56,2.7,East
VIND54N73O0JUKPKV,137,4.2,West
VINKLEWDXNAWULV0H,73,4.7,South
VIN3V11X3NLNHZ4AV,119,4.8,West
VIN3RF6NN45MXFPWC,485,1.7,East
VINKWAD0R5NJE0EAI,74,3.3,South
VINW7FM27NC31W3WV,73,1.5,West
VINZ15LW4I1T7K5N2,55,4.9,West
VINOQANT9MCVY2AY8,445,2.7,North
VINDENRR6AFVTC059,488,4.6,South
VINBJUIUY1PX8O7Q1,180,1.3,South
VINOJG3G6U0MYQKP3,174,3.0,North
VIN9GJGF67SV2YB5R,304,4.1,East
VINE7ZNQQKAOZ3GBQ,161,3.7,East
VIN60PV7KH10SH556,266,4.7,East
VIN02XXH26VSE4W49,225,3.6,North
VIN9A5JBR13OD0ZOL,341,4.2,North
VINUIDKPQ6QIZCVHT,139,2.1,West
VINGZNGZD4FVKM34R,284,4.3,West
VIN571L296TX28OQB,391,1.1,West
VINOT1EY0YEWTFBX3,339,3.7,East
VINKM8W4Y9YNEXEDS,491,2.0,East
VINNCLG1EKOHK85Y0,135,4.9,East
VINW7OLDRSW0OCJ54,90,4.0,West
VINXQ7DS4N0R03QI4,64,3.3,East
VINQK2V4OAD71CQ28,270,2.7,West
VINI7FRWYB5PC33M1,104,3.0,East
VINVN8VI9BAYVAMST,263,3.5,North
VINIP34ODE5W0OJQZ,227,3.6,West
VINMB1WS6L5PYPQYV,293,2.0,West
VIN82DSU5OQETBV9Q,449,3.0,East
VINMK6F5S1SU6KWQV,475,3.9,South
VINXGGZVAB8HDVPJZ,289,4.5,East
VINKP5C5LFVYZ4P5M,159,3.9,North
VINYK6Y648S1AP9HO,70,4.4,East
VINZAJGIGL252IKVG,75,1.3,West
VIN7VO0GB3OJBL7BN,71,4.8,West
VINO9G4OZN7FYGTCM,127,5.0,East
VINYEGTQRNWRZDI1V,75,1.5,North
VINDWREDL53D2HBXS,180,2.8,North
VINL1WDV9H1ZG69HW,239,1.4,North
VIN2TB6RMYUWF0RRN,472,3.9,West
VINN3EN1IJQ8X1MP0,264,2.2,West
VINDPYQTYOJQPVUY0,215,4.2,West
VINSLULYL6F7WKZUA,165,3.1,West
VINBRBLGBY6ZZ6F2S,366,1.9,West
VINHQORATW8EWNKR8,54,2.8,South
VINBHOQNG9UMLO2GC,449,3.1,West
VINNEX67ANMHGO6VV,362,4.1,North
VIN3GH8J6KM1HMCD0,121,3.8,South
VINAMLG9KOQZ9CSUZ,151,3.0,South
VINECSFMQ03GYEM3N,480,2.0,North
VINSYIKDWH2PQHZ2R,372,3.9,North
VINDQBCGHCFE5F05Z,395,3.7,East
VIN0SCKZM2PZTPG0K,110,2.4,South
VIN7EQIAUL9ZSB3UC,78,2.0,West
VINS6IQP131UPNSOA,155,4.0,East
VINVQ9R5TNR7ZOKNX,263,3.1,South
VIN82WN5D4D5RQ7JN,98,1.3,South
VINM1ERGUHAT8B5PH,100,1.7,East
VINK9KGGTXKE3978P,199,3.2,North
VINQNQNV14JHCDG76,152,4.1,North
VINHH0ZCGCYQQM9S3,246,1.3,East
VINWJO8XB731OXKYE,387,3.8,East
VINNCXR9RUN7X6QTG,101,3.2,East
VINUUDVRAE5UPM0TD,383,2.8,North
VIN1OCUUSIJ4E3IFB,239,4.9,North
VINT94T2EU8PAQSGY,469,1.3,West
VINNPAHYPAVSGG7Q8,469,4.2,South
VINVIR535V2RJQB1F,407,2.1,North
VINR6BZY1QI3233UQ,486,3.3,West
VIN01557TJOSGDYXH,412,4.9,East
VIN9KXDI3UOCGBHR4,493,2.9,West
VINEX515UH7WR0RWT,71,2.5,East
VINXQI4TL4CT5GFHK,244,1.3,South
VINWMDIS5WC676SCJ,344,3.3,East
VIN7QC5SJ9C6GU27S,438,2.0,South
VINFKU4E1B0DYGQRL,326,1.3,North
VIN6NDTV6MSWHEXFR,251,2.6,East
VINXJL1IXWG5LLL07,436,3.7,South
VINEC14RPJBD66OVR,303,1.4,South
VINKVBZWUURH4NF15,179,3.6,South
VIN7ZW2G79EX0JMQD,170,4.6,East
VINFOU6YC50Q2CA0E,151,4.5,South
VIN9A5QJGK6PX8LCB,352,4.5,North
VINGGKCNMFX8EYMVN,280,1.7,South
VINVKMD7AUITS57R7,383,2.9,West
VINUS6LD7YWDQMSEM,236,4.7,South
VINC11DXL7ESYA94K,490,3.3,West
VINSUG7J0TBQPJU6I,383,3.0,East
VINIAYZ2WHSC1UMCE,129,2.5,North
VINASGPGB1K88CO4H,101,3.4,East
VINJ1RD6M5B2S7OG3,437,2.2,South
VINKW7DCEMI89BB5I,306,3.4,South
VING9QKSYYOOBHQ4Z,232,4.9,North
VIN8A0M5IOYV9RF5K,292,4.1,South
VINVCRKHF23GYFHSA,284,3.5,West
VINLIW79F55F9OT1U,230,4.8,South
VINFLEAVPGRN224KN,186,1.5,South
VINDB34UD3Q4B0TFN,203,2.6,West
VINAFAMORLAAQ1R7E,356,2.9,West
VINENYQ4QGM15OZAN,312,4.2,North
VIN7LGQXHLW5AEKPU,81,2.3,North
VINDPEZ8RVKIDSXBK,419,2.9,West
VINPDOBU23N9BY09E,250,5.0,West
VIN22ASJ0V1BD5KJP,325,1.6,South
VIN2S5VCVOOIEHHT6,103,1.6,South
VINE8COV0STBGWJKA,101,4.2,South
VINKPABQYEQ8ZW399,100,1.3,East
VINFKHDLGVSIYWI18,456,4.1,West
VINADTKWIOG81XSLZ,284,1.9,East
VINRC4SUA7GK8XFBQ,472,2.6,North
VINY74IFVM8FZTD3H,148,5.0,South
VIND9N601D3DXDYUM,483,2.7,North
VINJNTUPVVP8XFSLC,471,3.8,North
VINKYZ92MP43D1XOR,442,2.8,East
VIN1PL212Z2DL5T00,416,4.0,West
VIN4DXSG5V4YAS1V8,410,1.6,North
VINAJR8HTF6GDSE2D,447,2.4,East
VINHOBQ5GR59RL3OQ,151,3.0,North
VINCVIDEC7CTWHZRQ,84,4.3,North
VINCA579YLSVLBEQG,117,3.2,North
VINL4DK2Q1BROZUOE,158,3.5,East
VINW0BW78T3E8UXB1,318,2.5,West
VINFUNMLLMIJEAI0O,202,3.8,North
VIN33IXXEG9O8IGRV,473,3.9,East
VIN2JFCJTI6GX2B48,235,4.9,East
VINP046734NNX4P39,371,3.6,East
VINE9UIOWZP6R9CUI,222,1.1,North
VINMG27ZZZOK0U36X,485,4.5,North
VINRCZH8DJNHPPWZP,181,3.6,West
VINRMMG54RV2MOK1K,404,4.4,North
VINRE3Q4M788HQ7BJ,59,2.7,East
VINWNUO6N6B6P0INP,313,3.8,East
VINGCM1EPZHUEQVW1,232,3.1,North
VIN3XSSY73PM5PJI7,91,1.9,North
VINELZ84SEJZKTZ2Z,475,1.5,North
VINIAH42GLIAGFQWV,481,2.9,South
VINYPYPPBRDT9ZRM4,444,1.6,West
VINJHFNFDY496I0IT,465,3.1,East
VINY0A0W0Y5SXUY8N,267,2.6,East
VIN3KVEIGANDQPPI7,318,2.7,North
VINA37PYG80NUZCH9,172,3.9,North
VINJBVX0ZU8IFI6QQ,260,2.2,West
VINLCXI6CEAWK5OY0,104,4.4,East
VINK2IW80E5XM4AJ7,411,4.5,South
VINYF6ISVC8Z8C83O,381,3.8,East
VINI2TP0P2QE606SX,382,3.4,South
VINOCHMWUZH071G0J,438,2.5,West
VINBX5J6Y1F7S0BW1,481,1.9,South
VINCPJIFDLBS4FKFP,76,3.4,West
VINURMMS9AP0CO5UF,405,4.9,North
VINYWNV7V7K7NKRUM,330,4.9,West
VINTOPAYKCHDPLXFI,444,3.1,South
VINPX4J14NHD87T6J,163,2.5,East
VINRCUMWBE30RV218,113,2.9,North
VIN8AUO0X0Q88KHNY,284,2.1,South
VINFN86KPBS6P1WW1,219,2.5,West
VINX5CCIECEA7WBDF,372,2.4,North
VINAPTY4OCRKJGB1B,449,4.2,South
VINAW6LM9E8WY83HB,228,4.6,North
VIN5COO5316U1ASLW,426,2.3,East
VINXP1RA05SRGB6CJ,141,2.5,South
VIN4XOW3HLKOVK7UI,208,2.3,North
VINFWC6GEX1NFO82H,312,1.6,West
VIN7RSAO2RFNW8ZBO,322,4.0,South
VIN3N9E2B9UE3GQ7C,444,4.1,West
VINE97E31WY3MYQ0C,126,3.2,East
VINSKO8LP1SWX73HJ,58,1.9,East
VIN2WVEQWYM2QR41B,107,3.0,North
VINGRNZIAYM0EYVXJ,274,4.5,North
VIN8PZII2H4J8D4Y0,239,4.0,North
VIN6NFTRJ2ISSCSK5,136,4.9,West
VINB5QLAOA5VXJOHU,160,1.1,South
VINF5NHOBM0GQBZIX,75,2.8,West
VIN3XQFWC7ID2K3NC,315,1.1,East
VIN51NS6DKQVCTF55,433,1.9,South
VIN8CCUG59CLXREHH,333,2.9,South
VINMSFEFVISS1VUPZ,254,4.4,West
VINH4LCD91TKU2540,441,1.0,South
VINPSNYXLS9EH2FCC,367,4.1,South
VINZY1HKP1YLL6SGO,73,4.0,West
VINRZL3428M969PMM,68,3.9,North
VINU3DM72ZBQE84L2,189,1.6,East
VIN4ZVNZYC7DARD5T,434,2.0,South
VINWNQHGYA8N7KXZF,164,4.1,West
VINKZH5FHGZR71MUZ,224,1.2,West
VINY5B8N4G173TEQS,361,1.7,South
VINGL1CFMAROSVTH3,55,4.3,East
VINAA4ZKTF5XE7F6X,145,4.8,North
VINKDR3UHVFJFWCI3,120,1.1,North
VIN386185O4KYND77,484,1.6,East
VINPKCO2GCHFM6WI2,313,3.6,North
VIN0JYMA2GAL6SN9G,442,4.5,West
VIN9U0CK8YL9N5OQ2,335,3.5,East
VINUJZKUA06ASWE9C,96,2.8,North
VINBTXLMXQODMQWOH,52,3.2,North
VIN6L4MH4AGJFXAO4,339,1.7,North
VIN8TMNSRM9V8T7DM,107,2.6,West
VINKK6VEPQAOQUXA6,315,2.8,West
VINN9H8XZOCCXM4DT,151,4.8,East
VINZV03L7DC2PYLAT,173,4.1,East
VIN2AJ2OF4GN4QAAX,212,1.9,South
VINURE83CMK4QBKII,279,3.1,West
VINSBP6GEC4WZOIXI,325,2.6,West
VINNYRIRUBSAODSD2,314,4.5,North
VIN7HQ7Y3274Y7ECY,389,3.5,North
VINKT47KU2QMJTLSC,125,1.0,West
VINLXUKSDAQE5AI3D,415,1.3,North
VINX5SGD8JW3MZ9C5,272,2.6,West
VIN5GXI7GEI9GR5SV,271,1.9,North
VINRHDFWWIPPKZDGF,92,3.9,North
VINWY7QIXQHAK8F2Q,263,2.8,East
VIN2RNJGY4FCR6AS0,206,2.7,East
VINUAB6HFRCNI1FTK,401,2.2,South
VINILNGPZ0IUC8DAV,418,3.3,South
VINC2T5ZB1KKZ5R01,340,4.2,South
VINNVLD5IP8APPIU2,481,3.6,South
VINSVFVMNTZSSMM3C,188,2.5,West
VINKKEW69JAZL6HCM,394,3.6,West
VINDARHU0S5GIYYB5,121,4.4,East
VIN43A8I94GLY4TIX,156,3.3,North
VINJK32BZH5MLZ70Q,494,3.5,South
VIN3QRFAYR4Q3VAZR,412,4.3,South
VINXKME8288NJDZTV,443,2.3,West
VINTGDCA0T1ZQ3RQX,86,1.4,South
VINFDKZ622KF3NV6P,270,2.5,South
VIN3YBC0NBI5BGQTN,445,5.0,North
VIN27VFEJ920620O6,90,3.3,South
VINVKNV71AA6N1Q5R,119,1.2,East
VIN26P5IMEQERS8FR,302,2.2,South
VINHQ8715DBHCC03C,133,4.8,West
